,vehicleno,start,Customer City,s,ChargeIn,ChargeOut
0,M7RKR0801ADA00714,2023-01-04 06:47:00,Supaul,1,30-40,60-70
1,M7RKR0801ADA00715,2023-01-09 05:37:00,,1,20-30,70-80
2,M7RKR0801ADA00716,2023-01-06 05:57:00,,1,60-70,70-80
3,M7RKR0801ADA00716,2023-01-06 09:35:00,,1,70-80,80-90
4,M7RKR0801ADA00716,2023-01-09 09:30:00,,1,40-50,60-70
5,M7RKR0801ADA00717,2023-01-09 10:42:00,,1,20-30,30-40
6,M7RKR0801ADA00717,2023-01-09 11:19:00,,1,20-30,40-50
7,M7RKR0801ADA00718,2023-01-09 06:57:00,,1,20-30,80-90
8,M7RKR0801ADA00719,2023-01-09 04:51:00,,1,20-30,70-80
9,M7RKR0801ADA00723,2023-01-10 12:36:00,,1,,0-10
10,M7RKR0801ADA00723,2023-01-11 10:27:00,,1,0-10,90-100
11,M7RKR0801ADA00724,2023-01-03 13:00:00,,1,20-30,90-100
12,M7RKR0801ADA00725,2023-01-04 03:42:00,,1,50-60,60-70
13,M7RKR0801ADA00725,2023-01-04 04:42:00,,1,30-40,60-70
14,M7RKR0801ADA00726,2023-01-04 05:14:00,,1,20-30,50-60
15,M7RKR0801ADA00728,2023-01-03 11:06:00,,1,20-30,90-100
16,M7RKR0801ADA00729,2023-01-03 11:06:00,,1,50-60,90-100
17,M7RKR0801ADA00732,2023-01-03 11:23:00,,1,20-30,90-100
18,M7RKR0801ADA00734,2023-01-03 10:52:00,Patna,1,20-30,90-100
19,M7RKR0801ADA00738,2023-01-11 04:43:00,,1,20-30,30-40
20,M7RKR0801ADA00738,2023-01-16 12:35:00,,1,20-30,90-100
21,M7RKR0801ADA00739,2023-01-04 09:07:00,,1,20-30,30-40
22,M7RKR0801ADA00740,2023-01-09 12:13:00,,1,30-40,40-50
23,M7RKR0801ADA00741,2023-01-05 10:02:00,,1,20-30,60-70
24,M7RKR0801ADA00742,2023-01-09 11:18:00,,1,20-30,30-40
25,M7RKR0801ADA00743,2023-01-10 09:50:00,,1,50-60,60-70
26,M7RKR0801ADA00743,2023-01-10 10:59:00,,1,30-40,40-50
27,M7RKR0801ADA00743,2023-01-11 04:46:00,,1,40-50,40-50
28,M7RKR0801ADA00743,2023-01-19 06:59:00,,1,30-40,90-100
29,M7RKR0801ADA00744,2023-01-10 06:33:00,,1,20-30,30-40
30,M7RKR0801ADA00744,2023-01-10 08:51:00,,1,20-30,60-70
31,M7RKR0801ADA00745,2023-01-02 06:22:00,,1,80-90,90-100
32,M7RKR0801ADA00746,2023-01-10 05:40:00,,1,50-60,60-70
33,M7RKR0801ADA00746,2023-01-10 08:25:00,,1,60-70,80-90
34,M7RKR0801ADA00747,2023-01-09 11:21:00,,1,20-30,90-100
35,M7RKR0801ADA00748,2023-01-16 11:27:00,,1,30-40,90-100
36,M7RKR0801ADA00749,2023-01-10 06:30:00,,1,20-30,20-30
37,M7RKR0801ADA00749,2023-01-10 08:36:00,,1,20-30,60-70
38,M7RKR0801ADA00750,2023-01-10 06:05:00,,1,50-60,90-100
39,M7RKR0801ADA00751,2023-01-10 05:47:00,,1,50-60,60-70
40,M7RKR0801ADA00751,2023-01-10 11:48:00,,1,20-30,90-100
41,M7RKR0801ADA00752,2023-01-11 12:27:00,,1,20-30,90-100
42,M7RKR0801ADA00753,2023-01-10 05:27:00,,1,50-60,90-100
43,M7RKR0801ADA00755,2023-01-10 06:04:00,,1,50-60,80-90
44,M7RKR0801ADA00755,2023-01-11 04:43:00,,1,50-60,90-100
45,M7RKR0801ADA00757,2023-01-06 04:58:00,,1,50-60,60-70
46,M7RKR0801ADA00757,2023-01-06 09:06:00,,1,60-70,70-80
47,M7RKR0801ADA00757,2023-01-09 10:22:00,,1,20-30,50-60
48,M7RKR0801ADA00758,2023-01-11 11:57:00,,1,40-50,90-100
49,M7RKR0801ADA00759,2023-01-12 09:29:00,,1,20-30,90-100
50,M7RKR0801ADA00760,2023-01-05 08:54:00,,1,60-70,60-70
51,M7RKR0801ADA00760,2023-01-17 14:39:00,,1,40-50,90-100
52,M7RKR0801ADA00761,2023-01-10 05:49:00,,1,,90-100
53,M7RKR0801ADA00762,2023-01-09 10:03:00,,1,50-60,70-80
54,M7RKR0801ADA00762,2023-01-10 04:08:00,,1,30-40,60-70
55,M7RKR0801ADA00763,2023-01-04 09:22:00,,1,20-30,30-40
56,M7RKR0801ADA00764,2023-01-10 04:42:00,,1,30-40,90-100
57,M7RKR0801ADA00765,2023-01-09 11:53:00,,1,20-30,30-40
58,M7RKR0801ADA00766,2023-01-10 07:17:00,,1,20-30,50-60
59,M7RKR0801ADA00768,2023-01-09 10:07:00,,1,20-30,50-60
60,M7RKR0801ADA00769,2023-01-10 06:10:00,,1,20-30,50-60
61,M7RKR0801ADA00771,2023-01-18 09:09:00,,1,20-30,90-100
62,M7RKR0801ADA00772,2023-01-09 10:51:00,,1,20-30,40-50
63,M7RKR0801ADA00773,2023-01-03 11:48:00,,1,10-20,90-100
64,M7RKR0801ADA00776,2023-01-09 12:14:00,,1,30-40,40-50
65,M7RKR0801ADA00777,2023-01-07 05:52:00,,1,20-30,80-90
66,M7RKR0801ADA00777,2023-01-09 06:14:00,,1,30-40,70-80
67,M7RKR0801ADA00779,2023-01-09 08:46:00,,1,20-30,40-50
68,M7RKR0801ADA00780,2023-01-10 09:44:00,,1,20-30,70-80
69,M7RKR0801ADA00782,2023-01-13 10:02:00,,1,90-100,90-100
70,M7RKR0801ADA00797,2023-01-18 12:23:00,,1,30-40,90-100
71,M7RKR0801ADA00799,2023-01-18 12:03:00,,1,30-40,90-100
72,M7RKR0801BCA00009,2023-01-02 09:31:00,,1,60-70,60-70
73,M7RKR0801BCA00009,2023-01-02 12:19:00,,1,40-50,90-100
74,M7RKR0801BCA00009,2023-01-04 11:06:00,,1,0-10,90-100
75,M7RKR0801BCA00009,2023-01-05 12:25:00,,1,10-20,90-100
76,M7RKR0801BCA00009,2023-01-06 10:14:00,,1,0-10,90-100
77,M7RKR0801BCA00009,2023-01-07 07:00:00,,1,0-10,90-100
78,M7RKR0801BCA00009,2023-01-09 10:09:00,,1,0-10,20-30
79,M7RKR0801BCA00009,2023-01-09 11:54:00,,1,10-20,90-100
80,M7RKR0801BCA00009,2023-01-12 10:50:00,,1,0-10,90-100
81,M7RKR0801BCA00009,2023-01-17 07:54:00,,1,0-10,90-100
82,M7RKR0801BCA00009,2023-01-18 07:42:00,,1,0-10,90-100
83,M7RKR0801BCA00009,2023-01-19 07:49:00,,1,0-10,50-60
84,M7RKR0801BCA00009,2023-01-19 11:43:00,,1,50-60,90-100
85,M7RKR0801CCA00018,2023-01-19 05:28:00,,1,40-50,90-100
86,M7RKR0801CCA00025,2023-01-04 11:57:00,,1,10-20,30-40
87,M7RKR0801CCA00025,2023-01-05 05:46:00,,1,20-30,70-80
88,M7RKR0801CCA00025,2023-01-05 08:47:00,,1,60-70,90-100
89,M7RKR0801CCA00025,2023-01-06 13:02:00,,1,80-90,90-100
90,M7RKR0801CCA00025,2023-01-08 12:31:00,,1,80-90,90-100
91,M7RKR0801CCA00025,2023-01-09 06:06:00,,1,80-90,90-100
92,M7RKR0801CCA00025,2023-01-09 09:37:00,,1,50-60,90-100
93,M7RKR0801CCA00029,2023-01-02 11:08:00,,1,10-20,90-100
94,M7RKR0801CCA00029,2023-01-03 10:45:00,,1,10-20,50-60
95,M7RKR0801CCA00029,2023-01-04 04:04:00,,1,40-50,90-100
96,M7RKR0801CCA00029,2023-01-04 12:54:00,,1,10-20,90-100
97,M7RKR0801CCA00029,2023-01-05 12:29:00,,1,10-20,90-100
98,M7RKR0801CCA00029,2023-01-06 11:24:00,,1,10-20,90-100
99,M7RKR0801CCA00029,2023-01-07 06:21:00,,1,0-10,90-100
100,M7RKR0801CCA00029,2023-01-09 11:00:00,,1,0-10,90-100
101,M7RKR0801CCA00029,2023-01-11 11:33:00,,1,0-10,90-100
102,M7RKR0801CCA00029,2023-01-13 11:50:00,,1,0-10,90-100
103,M7RKR0801CCA00029,2023-01-14 09:49:00,,1,10-20,90-100
104,M7RKR0801CCA00029,2023-01-16 11:58:00,,1,10-20,40-50
105,M7RKR0801CCA00029,2023-01-16 17:04:00,,1,40-50,90-100
106,M7RKR0801CCA00029,2023-01-17 07:04:00,,1,0-10,90-100
107,M7RKR0801CCA00029,2023-01-18 11:34:00,,1,10-20,90-100
108,M7RKR0801CCA00029,2023-01-19 06:39:00,,1,0-10,90-100
109,M7RKR0801FCA00035,2023-01-01 00:04:00,Pune,1,0-10,90-100
110,M7RKR0801FCA00035,2023-01-01 13:22:00,Pune,1,40-50,90-100
111,M7RKR0801FCA00035,2023-01-02 12:51:00,Pune,1,50-60,70-80
112,M7RKR0801FCA00035,2023-01-02 14:59:00,Pune,1,70-80,70-80
113,M7RKR0801FCA00035,2023-01-03 10:34:00,Pune,1,60-70,90-100
114,M7RKR0801FCA00035,2023-01-03 16:28:00,Pune,1,60-70,70-80
115,M7RKR0801FCA00035,2023-01-05 06:30:00,Pune,1,10-20,90-100
116,M7RKR0801FCA00035,2023-01-05 13:02:00,Pune,1,70-80,80-90
117,M7RKR0801FCA00035,2023-01-05 14:54:00,Pune,1,60-70,80-90
118,M7RKR0801FCA00035,2023-01-06 02:02:00,Pune,1,80-90,90-100
119,M7RKR0801FCA00035,2023-01-06 15:15:00,Pune,1,50-60,50-60
120,M7RKR0801FCA00035,2023-01-06 16:31:00,Pune,1,50-60,60-70
121,M7RKR0801FCA00035,2023-01-09 08:26:00,Pune,1,90-100,90-100
122,M7RKR0801FCA00035,2023-01-09 16:22:00,Pune,1,60-70,70-80
123,M7RKR0801FCA00035,2023-01-10 09:30:00,Pune,1,0-10,70-80
124,M7RKR0801FCA00035,2023-01-11 08:51:00,Pune,1,30-40,90-100
125,M7RKR0801FCA00035,2023-01-12 11:29:00,Pune,1,10-20,30-40
126,M7RKR0801FCA00035,2023-01-12 14:44:00,Pune,1,20-30,30-40
127,M7RKR0801FCA00035,2023-01-12 15:58:00,Pune,1,20-30,40-50
128,M7RKR0801FCA00035,2023-01-13 11:04:00,Pune,1,50-60,90-100
129,M7RKR0801FCA00035,2023-01-14 08:06:00,Pune,1,90-100,90-100
130,M7RKR0801FCA00035,2023-01-14 12:29:00,Pune,1,70-80,80-90
131,M7RKR0801FCA00035,2023-01-15 15:21:00,Pune,1,0-10,90-100
132,M7RKR0801FCA00035,2023-01-16 10:51:00,Pune,1,50-60,80-90
133,M7RKR0801FCA00035,2023-01-16 14:29:00,Pune,1,70-80,90-100
134,M7RKR0801FCA00035,2023-01-17 11:47:00,Pune,1,60-70,90-100
135,M7RKR0801FCA00035,2023-01-17 15:04:00,Pune,1,50-60,80-90
136,M7RKR0801FCA00036,2023-01-02 09:10:00,Pune,1,40-50,90-100
137,M7RKR0801FCA00036,2023-01-07 16:28:00,Pune,1,40-50,90-100
138,M7RKR0801FCA00037,2023-01-02 14:37:00,Pune,1,0-10,90-100
139,M7RKR0801FCA00037,2023-01-03 15:01:00,Pune,1,50-60,90-100
140,M7RKR0801FCA00037,2023-01-04 14:17:00,Pune,1,70-80,90-100
141,M7RKR0801FCA00037,2023-01-09 16:45:00,Pune,1,0-10,90-100
142,M7RKR0801FCA00037,2023-01-18 12:14:00,Pune,1,30-40,40-50
143,M7RKR0801FCA00038,2023-01-02 15:42:00,Pune,1,40-50,80-90
144,M7RKR0801FCA00038,2023-01-03 14:55:00,Pune,1,30-40,80-90
145,M7RKR0801FCA00038,2023-01-04 16:06:00,Pune,1,50-60,80-90
146,M7RKR0801FCA00038,2023-01-05 15:04:00,Pune,1,30-40,60-70
147,M7RKR0801FCA00038,2023-01-06 00:07:00,Pune,1,60-70,90-100
148,M7RKR0801FCA00038,2023-01-06 15:29:00,Pune,1,50-60,60-70
149,M7RKR0801FCA00038,2023-01-06 23:53:00,Pune,1,60-70,90-100
150,M7RKR0801FCA00038,2023-01-08 13:17:00,Pune,1,30-40,80-90
151,M7RKR0801FCA00038,2023-01-09 14:12:00,Pune,1,40-50,80-90
152,M7RKR0801FCA00038,2023-01-10 14:36:00,Pune,1,40-50,60-70
153,M7RKR0801FCA00038,2023-01-12 00:04:00,Pune,1,50-60,90-100
154,M7RKR0801FCA00038,2023-01-12 23:50:00,Pune,1,60-70,90-100
155,M7RKR0801FCA00038,2023-01-13 14:15:00,Pune,1,40-50,90-100
156,M7RKR0801FCA00038,2023-01-14 01:56:00,Pune,1,80-90,90-100
157,M7RKR0801FCA00038,2023-01-15 01:54:00,Pune,1,20-30,70-80
158,M7RKR0801FCA00038,2023-01-16 02:43:00,Pune,1,80-90,90-100
159,M7RKR0801FCA00038,2023-01-17 15:00:00,Pune,1,30-40,60-70
160,M7RKR0801FCA00038,2023-01-18 01:54:00,Pune,1,50-60,80-90
161,M7RKR0801FCA00038,2023-01-19 01:53:00,Pune,1,60-70,90-100
162,M7RKR0801FCA00038,2023-01-19 14:47:00,Pune,1,50-60,90-100
163,M7RKR0801FCA00039,2023-01-07 20:33:00,Pune,1,60-70,90-100
164,M7RKR0801FCA00039,2023-01-10 04:47:00,Pune,1,50-60,90-100
165,M7RKR0801FCA00039,2023-01-13 14:49:00,Pune,1,40-50,90-100
166,M7RKR0801FCA00039,2023-01-15 08:44:00,Pune,1,50-60,50-60
167,M7RKR0801FCA00039,2023-01-18 05:38:00,Pune,1,30-40,90-100
168,M7RKR0801FCA00041,2023-01-07 09:13:00,Pune,1,20-30,20-30
169,M7RKR0801FCA00041,2023-01-07 11:27:00,Pune,1,20-30,30-40
170,M7RKR0801FCA00041,2023-01-13 13:49:00,Pune,1,40-50,60-70
171,M7RKR0801FCA00041,2023-01-14 17:12:00,Pune,1,50-60,90-100
172,M7RKR0801FCA00041,2023-01-16 15:31:00,Pune,1,40-50,90-100
173,M7RKR0801FCA00042,2023-01-02 11:29:00,Pune,1,60-70,60-70
174,M7RKR0801FCA00042,2023-01-07 12:50:00,Pune,1,60-70,80-90
175,M7RKR0801FCA00042,2023-01-15 12:37:00,Pune,1,30-40,90-100
176,M7RKR0801FCA00042,2023-01-17 07:45:00,Pune,1,30-40,90-100
177,M7RKR0801FCA00042,2023-01-19 07:46:00,Pune,1,30-40,90-100
178,M7RKR0801FCA00043,2023-01-01 08:19:00,Pune,1,0-10,10-20
179,M7RKR0801FCA00043,2023-01-01 09:35:00,Pune,1,10-20,80-90
180,M7RKR0801FCA00043,2023-01-01 18:56:00,Pune,1,0-10,90-100
181,M7RKR0801FCA00043,2023-01-03 20:08:00,Pune,1,30-40,90-100
182,M7RKR0801FCA00043,2023-01-04 20:01:00,Pune,1,0-10,90-100
183,M7RKR0801FCA00043,2023-01-05 18:25:00,Pune,1,60-70,90-100
184,M7RKR0801FCA00043,2023-01-08 09:12:00,Pune,1,0-10,90-100
185,M7RKR0801FCA00043,2023-01-10 17:34:00,Pune,1,30-40,90-100
186,M7RKR0801FCA00043,2023-01-11 14:39:00,Pune,1,10-20,90-100
187,M7RKR0801FCA00043,2023-01-12 16:30:00,Pune,1,20-30,90-100
188,M7RKR0801FCA00043,2023-01-15 06:38:00,Pune,1,60-70,80-90
189,M7RKR0801FCA00043,2023-01-16 06:38:00,Pune,1,60-70,90-100
190,M7RKR0801FCA00043,2023-01-18 03:53:00,Pune,1,60-70,80-90
191,M7RKR0801FCA00045,2023-01-06 13:13:00,Pune,1,20-30,80-90
192,M7RKR0801FCA00045,2023-01-17 06:48:00,Pune,1,10-20,90-100
193,M7RKR0801FCA00047,2023-01-01 09:32:00,,1,50-60,80-90
194,M7RKR0801FCA00048,2023-01-03 14:52:00,Pune,1,20-30,90-100
195,M7RKR0801FCA00048,2023-01-04 16:26:00,Pune,1,30-40,90-100
196,M7RKR0801FCA00048,2023-01-07 03:57:00,Pune,1,70-80,90-100
197,M7RKR0801FCA00048,2023-01-09 03:02:00,Pune,1,20-30,80-90
198,M7RKR0801FCA00048,2023-01-09 16:39:00,Pune,1,30-40,90-100
199,M7RKR0801FCA00048,2023-01-11 15:44:00,Pune,1,20-30,90-100
200,M7RKR0801FCA00048,2023-01-12 15:28:00,Pune,1,50-60,90-100
201,M7RKR0801FCA00048,2023-01-13 15:06:00,Pune,1,40-50,90-100
202,M7RKR0801FCA00048,2023-01-15 15:58:00,Pune,1,20-30,90-100
203,M7RKR0801FCA00048,2023-01-17 13:29:00,Pune,1,40-50,90-100
204,M7RKR0801FCA00048,2023-01-18 15:45:00,Pune,1,20-30,30-40
205,M7RKR0801FCA00048,2023-01-19 05:05:00,Pune,1,30-40,50-60
206,M7RKR0801FCA00048,2023-01-19 08:03:00,Pune,1,20-30,90-100
207,M7RKR0801FCA00049,2023-01-01 11:40:00,Pune,1,70-80,90-100
208,M7RKR0801FCA00049,2023-01-04 02:12:00,Pune,1,60-70,90-100
209,M7RKR0801FCA00049,2023-01-05 14:33:00,Pune,1,60-70,90-100
210,M7RKR0801FCA00049,2023-01-06 01:46:00,Pune,1,90-100,90-100
211,M7RKR0801FCA00049,2023-01-09 15:02:00,Pune,1,50-60,90-100
212,M7RKR0801FCA00049,2023-01-14 07:59:00,Pune,1,50-60,90-100
213,M7RKR0801FCA00049,2023-01-18 16:22:00,Pune,1,40-50,90-100
214,M7RKR0801FCA00049,2023-01-19 01:48:00,Pune,1,90-100,90-100
215,M7RKR0801FCA00050,2023-01-01 04:26:00,Pune,1,70-80,90-100
216,M7RKR0801FCA00050,2023-01-05 04:43:00,Pune,1,50-60,90-100
217,M7RKR0801FCA00050,2023-01-10 16:53:00,Pune,1,10-20,90-100
218,M7RKR0801FCA00050,2023-01-14 05:25:00,Pune,1,30-40,50-60
219,M7RKR0801FCA00050,2023-01-15 06:18:00,Pune,1,50-60,60-70
220,M7RKR0801FCA00050,2023-01-15 16:28:00,Pune,1,10-20,90-100
221,M7RKR0801FCA00050,2023-01-17 06:44:00,Pune,1,0-10,90-100
222,M7RKR0801FCA00050,2023-01-18 07:23:00,Pune,1,40-50,90-100
223,M7RKR0801FCA00050,2023-01-19 11:42:00,Pune,1,50-60,90-100
224,M7RKR0801FCA00051,2023-01-01 09:49:00,Pune,1,60-70,90-100
225,M7RKR0801FCA00051,2023-01-04 01:35:00,Pune,1,20-30,60-70
226,M7RKR0801FCA00051,2023-01-04 13:31:00,Pune,1,50-60,90-100
227,M7RKR0801FCA00051,2023-01-04 23:46:00,Pune,1,90-100,90-100
228,M7RKR0801FCA00051,2023-01-05 13:39:00,Pune,1,10-20,40-50
229,M7RKR0801FCA00051,2023-01-06 05:43:00,Pune,1,10-20,60-70
230,M7RKR0801FCA00051,2023-01-06 12:28:00,Pune,1,30-40,90-100
231,M7RKR0801FCA00051,2023-01-07 14:22:00,Pune,1,0-10,40-50
232,M7RKR0801FCA00051,2023-01-08 01:33:00,Pune,1,40-50,90-100
233,M7RKR0801FCA00051,2023-01-09 11:06:00,Pune,1,30-40,50-60
234,M7RKR0801FCA00051,2023-01-11 03:15:00,Pune,1,30-40,90-100
235,M7RKR0801FCA00051,2023-01-15 13:20:00,Pune,1,20-30,90-100
236,M7RKR0801FCA00051,2023-01-19 10:56:00,Pune,1,0-10,80-90
237,M7RKR0801FCA00052,2023-01-18 09:46:00,Pune,1,20-30,90-100
238,M7RKR0801FCA00053,2023-01-01 14:42:00,Pune,1,0-10,90-100
239,M7RKR0801FCA00053,2023-01-03 18:01:00,Pune,1,30-40,90-100
240,M7RKR0801FCA00053,2023-01-05 04:39:00,Pune,1,50-60,70-80
241,M7RKR0801FCA00053,2023-01-05 19:00:00,Pune,1,40-50,90-100
242,M7RKR0801FCA00053,2023-01-08 14:09:00,Pune,1,50-60,60-70
243,M7RKR0801FCA00053,2023-01-08 15:43:00,Pune,1,60-70,90-100
244,M7RKR0801FCA00053,2023-01-09 16:26:00,Pune,1,50-60,80-90
245,M7RKR0801FCA00053,2023-01-11 16:24:00,Pune,1,50-60,90-100
246,M7RKR0801FCA00053,2023-01-12 12:14:00,Pune,1,50-60,50-60
247,M7RKR0801FCA00053,2023-01-12 16:48:00,Pune,1,40-50,70-80
248,M7RKR0801FCA00053,2023-01-13 16:09:00,Pune,1,40-50,90-100
249,M7RKR0801FCA00053,2023-01-14 16:29:00,Pune,1,60-70,90-100
250,M7RKR0801FCA00053,2023-01-16 13:14:00,Pune,1,60-70,70-80
251,M7RKR0801FCA00053,2023-01-17 04:36:00,Pune,1,60-70,90-100
252,M7RKR0801FCA00053,2023-01-19 06:50:00,Pune,1,50-60,70-80
253,M7RKR0801FCA00053,2023-01-19 10:40:00,Pune,1,70-80,90-100
254,M7RKR0801FCA00054,2023-01-01 17:52:00,Pune,1,40-50,90-100
255,M7RKR0801FCA00054,2023-01-02 18:25:00,Pune,1,50-60,90-100
256,M7RKR0801FCA00054,2023-01-06 14:27:00,Pune,1,30-40,90-100
257,M7RKR0801FCA00054,2023-01-08 18:37:00,Pune,1,20-30,90-100
258,M7RKR0801FCA00054,2023-01-10 16:30:00,Pune,1,0-10,10-20
259,M7RKR0801FCA00054,2023-01-10 18:19:00,Pune,1,10-20,90-100
260,M7RKR0801FCA00054,2023-01-12 16:57:00,Pune,1,0-10,90-100
261,M7RKR0801FCA00054,2023-01-15 17:54:00,Pune,1,0-10,90-100
262,M7RKR0801FCA00054,2023-01-18 18:20:00,Pune,1,20-30,90-100
263,M7RKR0801FCA00055,2023-01-01 07:51:00,Pune,1,60-70,90-100
264,M7RKR0801FCA00055,2023-01-03 15:29:00,Pune,1,40-50,90-100
265,M7RKR0801FCA00055,2023-01-06 15:16:00,Pune,1,50-60,90-100
266,M7RKR0801FCA00055,2023-01-08 14:27:00,Pune,1,50-60,90-100
267,M7RKR0801FCA00055,2023-01-10 19:08:00,Pune,1,50-60,90-100
268,M7RKR0801FCA00055,2023-01-12 15:39:00,Pune,1,20-30,90-100
269,M7RKR0801FCA00055,2023-01-15 15:38:00,Pune,1,20-30,90-100
270,M7RKR0801FCA00055,2023-01-16 15:35:00,Pune,1,40-50,90-100
271,M7RKR0801FCA00056,2023-01-04 03:24:00,Pune,1,80-90,90-100
272,M7RKR0801FCA00056,2023-01-08 11:18:00,Pune,1,0-10,50-60
273,M7RKR0801FCA00056,2023-01-10 11:41:00,Pune,1,30-40,60-70
274,M7RKR0801FCA00056,2023-01-12 16:29:00,Pune,1,10-20,90-100
275,M7RKR0801FCA00056,2023-01-13 15:11:00,Pune,1,80-90,90-100
276,M7RKR0801FCA00056,2023-01-14 05:08:00,Pune,1,0-10,80-90
277,M7RKR0801FCA00056,2023-01-14 17:29:00,Pune,1,50-60,90-100
278,M7RKR0801FCA00056,2023-01-16 07:47:00,Pune,1,70-80,90-100
279,M7RKR0801FCA00056,2023-01-18 03:29:00,Pune,1,60-70,70-80
280,M7RKR0801FCA00057,2023-01-01 18:07:00,Pune,1,10-20,90-100
281,M7RKR0801FCA00057,2023-01-02 10:35:00,Pune,1,60-70,70-80
282,M7RKR0801FCA00057,2023-01-02 18:02:00,Pune,1,50-60,90-100
283,M7RKR0801FCA00057,2023-01-03 07:15:00,Pune,1,30-40,40-50
284,M7RKR0801FCA00057,2023-01-03 17:49:00,Pune,1,0-10,90-100
285,M7RKR0801FCA00057,2023-01-04 14:21:00,Pune,1,30-40,90-100
286,M7RKR0801FCA00057,2023-01-07 15:15:00,Pune,1,0-10,0-10
287,M7RKR0801FCA00057,2023-01-07 15:59:00,Pune,1,0-10,90-100
288,M7RKR0801FCA00057,2023-01-08 15:50:00,Pune,1,10-20,90-100
289,M7RKR0801FCA00057,2023-01-10 13:39:00,Pune,1,0-10,90-100
290,M7RKR0801FCA00057,2023-01-11 14:44:00,Pune,1,50-60,80-90
291,M7RKR0801FCA00057,2023-01-11 16:53:00,Pune,1,80-90,90-100
292,M7RKR0801FCA00057,2023-01-12 16:56:00,Pune,1,20-30,90-100
293,M7RKR0801FCA00057,2023-01-13 15:35:00,Pune,1,40-50,90-100
294,M7RKR0801FCA00057,2023-01-14 16:01:00,Pune,1,30-40,90-100
295,M7RKR0801FCA00057,2023-01-15 13:38:00,Pune,1,50-60,90-100
296,M7RKR0801FCA00057,2023-01-16 16:41:00,Pune,1,30-40,90-100
297,M7RKR0801FCA00057,2023-01-18 13:19:00,Pune,1,0-10,90-100
298,M7RKR0801FCA00058,2023-01-01 11:37:00,Pune,1,30-40,90-100
299,M7RKR0801FCA00058,2023-01-05 06:14:00,Pune,1,20-30,90-100
300,M7RKR0801FCA00058,2023-01-08 20:08:00,Pune,1,20-30,90-100
301,M7RKR0801FCA00058,2023-01-14 07:56:00,Pune,1,10-20,90-100
302,M7RKR0801FCA00058,2023-01-18 18:46:00,Pune,1,0-10,90-100
303,M7RKR0801FCA00060,2022-12-31 22:27:00,Pune,1,30-40,90-100
304,M7RKR0801FCA00060,2023-01-04 16:02:00,Pune,1,10-20,90-100
305,M7RKR0801FCA00060,2023-01-06 16:50:00,Pune,1,20-30,90-100
306,M7RKR0801FCA00060,2023-01-08 05:13:00,Pune,1,60-70,90-100
307,M7RKR0801FCA00060,2023-01-09 15:07:00,Pune,1,50-60,90-100
308,M7RKR0801FCA00060,2023-01-11 15:36:00,Pune,1,0-10,90-100
309,M7RKR0801FCA00060,2023-01-13 15:33:00,Pune,1,40-50,90-100
310,M7RKR0801FCA00060,2023-01-16 15:29:00,Pune,1,10-20,90-100
311,M7RKR0801GCA00061,2023-01-16 14:02:00,Pune,1,40-50,90-100
312,M7RKR0801GCA00062,2023-01-07 03:21:00,Pune,1,50-60,90-100
313,M7RKR0801GCA00062,2023-01-14 02:46:00,Pune,1,40-50,80-90
314,M7RKR0801GCA00063,2023-01-02 12:42:00,Pune,1,0-10,60-70
315,M7RKR0801GCA00063,2023-01-05 12:31:00,Pune,1,10-20,60-70
316,M7RKR0801GCA00063,2023-01-06 17:20:00,Pune,1,40-50,60-70
317,M7RKR0801GCA00063,2023-01-07 11:35:00,Pune,1,40-50,90-100
318,M7RKR0801GCA00063,2023-01-09 16:20:00,Pune,1,60-70,90-100
319,M7RKR0801GCA00063,2023-01-12 13:41:00,Pune,1,30-40,90-100
320,M7RKR0801GCA00063,2023-01-17 01:09:00,Pune,1,50-60,90-100
321,M7RKR0801GCA00064,2023-01-02 06:21:00,Pune,1,0-10,90-100
322,M7RKR0801GCA00064,2023-01-06 17:41:00,Pune,1,10-20,90-100
323,M7RKR0801GCA00064,2023-01-09 17:41:00,Pune,1,10-20,90-100
324,M7RKR0801GCA00064,2023-01-14 06:12:00,Pune,1,0-10,90-100
325,M7RKR0801GCA00064,2023-01-18 17:31:00,Pune,1,0-10,90-100
326,M7RKR0801GCA00065,2023-01-06 02:29:00,Pune,1,10-20,40-50
327,M7RKR0801GCA00065,2023-01-06 10:46:00,Pune,1,20-30,90-100
328,M7RKR0801GCA00065,2023-01-07 15:27:00,Pune,1,70-80,90-100
329,M7RKR0801GCA00065,2023-01-08 06:28:00,Pune,1,0-10,90-100
330,M7RKR0801GCA00065,2023-01-11 08:47:00,Pune,1,20-30,60-70
331,M7RKR0801GCA00065,2023-01-12 15:27:00,Pune,1,50-60,90-100
332,M7RKR0801GCA00065,2023-01-13 11:17:00,Pune,1,60-70,90-100
333,M7RKR0801GCA00065,2023-01-14 09:28:00,Pune,1,60-70,90-100
334,M7RKR0801GCA00065,2023-01-16 13:11:00,Pune,1,40-50,90-100
335,M7RKR0801GCA00065,2023-01-17 08:36:00,Pune,1,60-70,90-100
336,M7RKR0801GCA00065,2023-01-18 07:27:00,Pune,1,40-50,90-100
337,M7RKR0801GCA00065,2023-01-19 15:21:00,Pune,1,50-60,90-100
338,M7RKR0801GCA00066,2023-01-01 05:12:00,Mumbai,1,0-10,90-100
339,M7RKR0801GCA00066,2023-01-04 14:24:00,Mumbai,1,0-10,90-100
